Plzeňský kraj	Nýřany	81
Plzeňský kraj	Plzeň	208
Plzeňský kraj	Přeštice	56
Plzeňský kraj	Rokycany	101
Plzeňský kraj	Stod	42
Plzeňský kraj	Stříbro	34
Plzeňský kraj	Sušice	61
Plzeňský kraj	Tachov	51
Středočeský kraj	Benešov	121
Středočeský kraj	Beroun	83
Středočeský kraj	Brandýs nad Labem-Stará Boleslav	91
Středočeský kraj	Čáslav	60
Středočeský kraj	Černošice	125
Středočeský kraj	Český Brod	40
Středočeský kraj	Dobříš	30
Středočeský kraj	Hořovice	44
Středočeský kraj	Kladno	123
Středočeský kraj	Kolín	131
Středočeský kraj	Kralupy nad Vltavou	39
Středočeský kraj	Kutná Hora	102
Středočeský kraj	Lysá nad Labem	20
Středočeský kraj	Mělník	75
Středočeský kraj	Mladá Boleslav	184
Středočeský kraj	Mnichovo Hradiště	38
Středočeský kraj	Neratovice	32
Středočeský kraj	Nymburk	67
Středočeský kraj	Poděbrady	64
Středočeský kraj	Příbram	147
Středočeský kraj	Rakovník	120
Středočeský kraj	Říčany	84
Středočeský kraj	Sedlčany	51
Středočeský kraj	Slaný	88
Středočeský kraj	Vlašim	69
Středočeský kraj	Votice	27
Ústecký kraj	Bílina	23
Ústecký kraj	Chomutov	76
Ústecký kraj	Děčín	100
Ústecký kraj	Kadaň	42
Ústecký kraj	Litoměřice	99
Ústecký kraj	Litvínov	46
Ústecký kraj	Louny	92
Ústecký kraj	Lovosice	56
Ústecký kraj	Most	78
Ústecký kraj	Podbořany	29
Ústecký kraj	Roudnice nad Labem	62
Ústecký kraj	Rumburk	33
Ústecký kraj	Teplice	108
Ústecký kraj	Ústí nad Labem	138
Ústecký kraj	Varnsdorf	18
Ústecký kraj	Žatec	46
Zlínský kraj	Bystřice pod Hostýnem	26
Zlínský kraj	Holešov	32
Zlínský kraj	Kroměříž	108
Zlínský kraj	Luhačovice	28
Zlínský kraj	Otrokovice	28
Zlínský kraj	Rožnov pod Radhoštěm	27
Zlínský kraj	Uherské Hradiště	94
Zlínský kraj	Uherský Brod	58
Zlínský kraj	Valašské Klobouky	32
Zlínský kraj	Valašské Meziříčí	57
Zlínský kraj	Vizovice	21
Zlínský kraj	Vsetín	64
Zlínský kraj	Zlín	109
